interconnection,kind,hour_or_alpha,type,id_or_path,kv,inferred_circuits,extra_needed,flow_or_load_mw,rating_mva_or_buses,loading_pct_or_sx,lat,lon,substations
Eastern,at_cap,stored,line,741,500,8,,,12880,,33.2915,-89.4211,WOLF CREEK-MCADAMS
Eastern,at_cap,stored,line,6622,500,8,,,12880,,33.0148,-89.6814,MCADAMS-LAKEOVER
Eastern,at_cap,stored,line,11408,500,8,,,12880,,34.3467,-92.4263,EL DORADO SUBSTATION-SHERIDAN
Eastern,at_cap,stored,line,23522,500,8,,,12880,,34.3467,-92.4263,WHITE BLUFF-SHERIDAN
Eastern,at_cap,stored,line,420,230,8,,,3220,,30.4279,-90.1933,UNKNOWN112536-UNKNOWN112537
Eastern,at_cap,stored,line,9061,230,8,,,3220,,30.7635,-88.0590,CHICKASAW-BIG CREEK
Eastern,at_cap,stored,line,36292,230,8,,,3220,,30.4279,-90.1933,UNKNOWN112536-LITTLE GYPSY STATION
Eastern,at_cap,stored,line,59707,230,8,,,3220,,33.0017,-85.9026,UNKNOWN115640-UNKNOWN176564
Eastern,at_cap,stored,line,281229,230,8,,,3600,,30.7813,-89.9052,-
Eastern,at_cap,stored,line,11925,161,8,,,2147,,37.4028,-87.0069,UNKNOWN155292-TAP155984
Eastern,at_cap,stored,line,42920,138,8,,,1789,,40.7402,-73.8622,CORONA-JAMAICA
Eastern,at_cap,stored,line,86376,138,8,,,2000,,40.6889,-73.8445,-
Eastern,at_cap,stored,line,86481,138,8,,,2000,,40.6898,-73.8440,-
Eastern,at_cap,stored,line,90085,138,8,,,2000,,40.6889,-73.8445,-
Eastern,at_cap,stored,line,218253,138,8,,,1789,,40.7838,-73.9034,EAST ASTORIA-NORTH QUEENS
Eastern,at_cap,stored,line,1642,100,8,,,1431,,39.9716,-81.5751,UNKNOWN152342-TAP152343
Eastern,at_cap,stored,line,8818,100,8,,,1431,,39.9334,-81.5272,UNKNOWN114946-UNKNOWN152342
Eastern,at_cap,stored,line,21634,100,8,,,1431,,39.9902,-81.5651,UNKNOWN152345-UNKNOWN154029
Eastern,at_cap,stored,line,52391,100,8,,,1431,,39.9817,-81.5528,TAP152343-TAP172478
Eastern,at_cap,stored,line,57299,100,8,,,1431,,39.9902,-81.5651,UNKNOWN152345-TAP172478
Eastern,at_cap,stored,line,1204,69,8,,,930,,40.6663,-73.6850,TAP135490-TAP140036
Eastern,at_cap,stored,line,73808,69,8,,,930,,32.3774,-94.6414,TAP302590-KNOX LEE SUBSTATION
Eastern,at_cap,stored,line,78478,69,8,,,930,,32.3869,-94.6422,TAP302590-NOT AVAILABLE
Eastern,at_cap,stored,line,231873,69,8,,,930,,40.7532,-73.7015,LAKE SUCCESS-JAMAICA
ERCOT,at_cap,stored,line,72821,138,8,,,1789,,31.9969,-102.6199,UNKNOWN304097-NOT AVAILABLE
ERCOT,at_cap,stored,line,73969,138,8,,,1789,,31.8422,-101.9780,UNKNOWN301810-TAP306792
