State,Facility ID,Unit ID,Latitude,Longitude,Primary Fuel Type,Operating Status,Associated Generators & Nameplate Capacity (MWe)
AL,3,1,31.0069,-88.0103,Pipeline Natural Gas,Operating,1 (153.1)
AL,3,2,31.0069,-88.0103,Pipeline Natural Gas,Operating,2 (153.1)
AL,3,4,31.0069,-88.0103,Pipeline Natural Gas,Operating,4 (403.8)
AL,3,5,31.0069,-88.0103,Coal,Operating,5 (788.8)
AL,3,6A,31.0069,-88.0103,Pipeline Natural Gas,Operating,"A1ST (191.8), A1CT (170.1)"
AL,3,6B,31.0069,-88.0103,Pipeline Natural Gas,Operating,"A1CT2 (170.1), A1ST (191.8)"
AL,3,7A,31.0069,-88.0103,Pipeline Natural Gas,Operating,"A2ST (191.8), A2C1 (170.1)"
AL,3,7B,31.0069,-88.0103,Pipeline Natural Gas,Operating,"A2ST (191.8), A2C2 (170.1)"
AL,3,8,31.0069,-88.0103,Pipeline Natural Gas,Operating,"A3C1 (457), A3ST (305.1)"
TX,9,CTG-1,31.7569,-106.375,Pipeline Natural Gas,Operating,1 (70)
AL,10,1,32.6017,-87.7811,Pipeline Natural Gas,Operating,1 (299.2)
AL,10,2,32.6017,-87.7811,Pipeline Natural Gas,Operating,2 (269.3)
AL,10,CT10,32.6017,-87.7811,Pipeline Natural Gas,Operating,GT10 (80)
AL,10,CT2,32.6017,-87.7811,Pipeline Natural Gas,Operating,GT2 (80)
AL,10,CT3,32.6017,-87.7811,Pipeline Natural Gas,Operating,GT3 (80)
AL,10,CT4,32.6017,-87.7811,Pipeline Natural Gas,Operating,GT4 (80)
AL,10,CT5,32.6017,-87.7811,Pipeline Natural Gas,Operating,GT5 (80)
AL,10,CT6,32.6017,-87.7811,Pipeline Natural Gas,Operating,GT6 (80)
AL,10,CT7,32.6017,-87.7811,Pipeline Natural Gas,Operating,GT7 (80)
AL,10,CT8,32.6017,-87.7811,Pipeline Natural Gas,Operating,GT8 (80)
AL,10,CT9,32.6017,-87.7811,Pipeline Natural Gas,Operating,GT9 (80)
AL,26,1,33.2442,-86.4567,Pipeline Natural Gas,Operating,1 (272)
AL,26,2,33.2442,-86.4567,Pipeline Natural Gas,Operating,2 (272)
AL,26,3,33.2442,-86.4567,Pipeline Natural Gas,Operating,3 (272)
AL,26,4,33.2442,-86.4567,Pipeline Natural Gas,Operating,ST4 (244.8)
AL,26,5,33.2442,-86.4567,Coal,Operating,5 (952)
AL,47,CCT1,34.7439,-87.8486,Pipeline Natural Gas,Operating,GT1 (59.5)
AL,47,CCT10,34.7439,-87.8486,Pipeline Natural Gas,Operating,CCT10 (210)
AL,47,CCT11,34.7439,-87.8486,Pipeline Natural Gas,Operating,CCT11 (210)
AL,47,CCT2,34.7439,-87.8486,Pipeline Natural Gas,Operating,GT2 (59.5)
AL,47,CCT3,34.7439,-87.8486,Pipeline Natural Gas,Operating,GT3 (59.5)
AL,47,CCT4,34.7439,-87.8486,Pipeline Natural Gas,Operating,GT4 (59.5)
AL,47,CCT5,34.7439,-87.8486,Pipeline Natural Gas,Operating,GT5 (59.5)
AL,47,CCT6,34.7439,-87.8486,Pipeline Natural Gas,Operating,GT6 (59.5)
AL,47,CCT7,34.7439,-87.8486,Pipeline Natural Gas,Operating,GT7 (59.5)
AL,47,CCT8,34.7439,-87.8486,Pipeline Natural Gas,Operating,GT8 (59.5)
AL,47,CCT9,34.7439,-87.8486,Pipeline Natural Gas,Operating,CCT9 (210)
KY,54,SCT1,37.8824,-84.1025,Pipeline Natural Gas,Operating,GT1 (150)
KY,54,SCT10,37.8824,-84.1025,Pipeline Natural Gas,Operating,GT10 (98)
KY,54,SCT2,37.8824,-84.1025,Pipeline Natural Gas,Operating,GT2 (150)
KY,54,SCT3,37.8824,-84.1025,Pipeline Natural Gas,Operating,GT3 (150)
KY,54,SCT4,37.8824,-84.1025,Pipeline Natural Gas,Operating,GT4 (108)
KY,54,SCT5,37.8824,-84.1025,Pipeline Natural Gas,Operating,GT5 (108)
KY,54,SCT6,37.8824,-84.1025,Pipeline Natural Gas,Operating,GT6 (98)
KY,54,SCT7,37.8824,-84.1025,Pipeline Natural Gas,Operating,GT7 (98)
KY,54,SCT9,37.8824,-84.1025,Pipeline Natural Gas,Operating,GT9 (98)
AL,56,CC1,31.4858,-87.9106,Pipeline Natural Gas,Operating,"LEC1 (454.5), LEC2 (272.2)"
NE,59,1,40.8538,-98.3481,Coal,Operating,1 (109.8)
NE,60,1,40.5806,-98.3106,Coal,Operating,1 (77)
NE,60,2,40.5806,-98.3106,Coal,Operating,2 (220)
KS,108,SGU1,37.9306,-100.9725,Coal,Operating,1 (387)
AZ,113,1,34.9394,-110.3033,Coal,Operating,1 (113.6)
AZ,113,3,34.9394,-110.3033,Coal,Operating,3 (288.9)
AZ,116,GT3,33.4225,-111.9122,Pipeline Natural Gas,Operating,GT3 (102)
AZ,116,GT4,33.4225,-111.9122,Pipeline Natural Gas,Operating,GT4 (102)
AZ,116,GT5,33.4225,-111.9122,Pipeline Natural Gas,Operating,GT5 (102)
AZ,116,GT6,33.4225,-111.9122,Pipeline Natural Gas,Operating,GT6 (102)
AZ,116,GT7,33.4225,-111.9122,Pipeline Natural Gas,Operating,GT7 (102)
AZ,117,CC4,33.4417,-112.1583,Pipeline Natural Gas,Operating,"C4-1 (91), C4-2 (44.6)"
AZ,117,CC5A,33.4417,-112.1583,Pipeline Natural Gas,Operating,"C5-3 (201), C5-1 (184)"
AZ,117,CC5B,33.4417,-112.1583,Pipeline Natural Gas,Operating,"C5-3 (201), C5-2 (184)"
AZ,118,CT3,32.5517,-111.3,Pipeline Natural Gas,Operating,GE1 (91)
AZ,120,1,32.7214,-114.7097,Pipeline Natural Gas,Operating,ST1 (86.7)
AZ,120,CT5,32.7214,-114.7097,Pipeline Natural Gas,Operating,GT5 (60.5)
AZ,120,CT6,32.7214,-114.7097,Pipeline Natural Gas,Operating,GT6 (60.5)
AZ,124,GT1,32.2511,-110.9889,Natural Gas,Operating,GT2 (85)
AZ,126,3,32.16,-110.9047,Natural Gas,Operating,ST3 (113.6)
AZ,126,4,32.16,-110.9047,Natural Gas,Operating,4 (173.3)
TX,127,1,34.0825,-99.1753,Coal,Long-term Cold Storage,1 (663.9)
SC,130,1,33.3692,-80.1119,Coal,Operating,1 (590.9)
SC,130,2,33.3692,-80.1119,Coal,Operating,2 (556.2)
SC,130,3,33.3692,-80.1119,Coal,Operating,3 (580)
SC,130,4,33.3692,-80.1119,Coal,Operating,4 (580)
FL,136,1,29.7333,-81.6339,,Retired,1 (714.6)
FL,136,2,29.7333,-81.6339,Coal,Operating,2 (714.6)
FL,136,CT1,29.7333,-81.6339,Natural Gas,Operating,"CT1 (384.2), ST (414.8)"
FL,136,CT2,29.7333,-81.6339,Natural Gas,Operating,"ST (414.8), CT2 (384.2)"
AZ,141,1,33.5542,-112.2161,Pipeline Natural Gas,Operating,AF1 (113.6)
AZ,141,2,33.5542,-112.2161,Pipeline Natural Gas,Operating,AF2 (113.6)
AZ,141,3,33.5542,-112.2161,Pipeline Natural Gas,Operating,AF3 (163.2)
AZ,141,7,33.5542,-112.2161,Pipeline Natural Gas,Operating,AF7 (49.5)
AZ,141,8,33.5542,-112.2161,Pipeline Natural Gas,Operating,AF8 (49.5)
AZ,147,K-7,33.3544,-111.9364,Pipeline Natural Gas,Operating,"KY7A (122), KY7 (170)"
AZ,160,1,32.0619,-109.8931,Pipeline Natural Gas,Operating,ST1 (85.05)
AZ,160,2,32.0619,-109.8931,Pipeline Natural Gas,Operating,ST2 (194.7)
AZ,160,3,32.0619,-109.8931,Coal,Operating,ST3 (194.7)
AZ,160,4,32.0619,-109.8931,Pipeline Natural Gas,Operating,GT4 (60.5)
OK,165,1,36.1906,-95.2889,Coal,Retired,1 (490)
OK,165,2,36.1906,-95.2889,Coal,Operating,2 (520)
OK,165,3,36.1906,-95.2889,Pipeline Natural Gas,Operating,"3CT (365.5), 3ST (204)"
AR,170,4,34.4341,-92.9046,Pipeline Natural Gas,Operating,4 (552.5)
AR,201,2,35.4617,-93.8053,Pipeline Natural Gas,Operating,"2 (106), 1 (59)"
AR,202,01,35.2597,-91.3631,Pipeline Natural Gas,Operating,1 (120)
AR,203,01,33.5648,-92.7917,Pipeline Natural Gas,Operating,1 (136)
