State,Facility ID,Unit ID,Date,Hour,Operating Time,Gross Load (MW),Primary Fuel Type
AL,3,1,2024-07-15,0,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,1,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,2,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,3,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,4,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,5,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,6,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,7,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,8,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,9,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,10,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,11,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,12,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,13,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,14,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,15,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,16,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,17,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,18,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,19,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,20,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,21,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,22,0,,Pipeline Natural Gas
AL,3,1,2024-07-15,23,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,0,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,1,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,2,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,3,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,4,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,5,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,6,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,7,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,8,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,9,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,10,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,11,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,12,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,13,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,14,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,15,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,16,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,17,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,18,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,19,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,20,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,21,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,22,0,,Pipeline Natural Gas
AL,3,2,2024-07-15,23,0,,Pipeline Natural Gas
AL,3,4,2024-07-15,0,1,65,Pipeline Natural Gas
AL,3,4,2024-07-15,1,1,65,Pipeline Natural Gas
AL,3,4,2024-07-15,2,1,65,Pipeline Natural Gas
AL,3,4,2024-07-15,3,1,65,Pipeline Natural Gas
AL,3,4,2024-07-15,4,1,65,Pipeline Natural Gas
AL,3,4,2024-07-15,5,1,65,Pipeline Natural Gas
AL,3,4,2024-07-15,6,1,65,Pipeline Natural Gas
AL,3,4,2024-07-15,7,1,65,Pipeline Natural Gas
AL,3,4,2024-07-15,8,1,65,Pipeline Natural Gas
AL,3,4,2024-07-15,9,1,65,Pipeline Natural Gas
AL,3,4,2024-07-15,10,1,65,Pipeline Natural Gas
AL,3,4,2024-07-15,11,1,65,Pipeline Natural Gas
AL,3,4,2024-07-15,12,1,65,Pipeline Natural Gas
AL,3,4,2024-07-15,13,1,118,Pipeline Natural Gas
AL,3,4,2024-07-15,14,1,65,Pipeline Natural Gas
AL,3,4,2024-07-15,15,1,65,Pipeline Natural Gas
