iso,label,binding_intervals,branch_id,source_id,kv,inferred_circuits,dc_loading_pct
ercot,FRONTERA-S_MISSIN 138kV,480,76350,304358,138.0,3,74
ercot,BRUNI-BRUNI 138kV,410,81791,310041,138.0,3,68
ercot,SAMSW-VENSW 345kV,225,77521,305588,345.0,1,7
ercot,ZEN-THW 345kV,154,83731,312058,345.0,2,33
ercot,NUECES_B-WHITE_PT 138kV,150,79003,307139,138.0,1,37
ercot,TNNALVIN-ALVIN 138kV,139,74976,302922,138.0,1,18
ercot,VERS-SANDROAD 69kV,138,74254,302162,69.0,1,33
ercot,POTEETS-OAKS9 69kV,121,75734,303715,69.0,1,14
ercot,LA_PALMA-HAINE_DR 138kV,116,84072,312413,138.0,2,44
ercot,DILLEYSW-DILLEYSW 138kV,109,80444,308643,138.0,1,29
ercot,ANGLETON-WCOLLOCL 138kV,82,78193,306285,138.0,1,19
ercot,ORNGROV-ORNGROV 138kV,82,78917,307049,138.0,1,21
ercot,GABRIE-GABRIE 69kV,75,T4090,,138.0/69.0,1,0
ercot,SOLSTICE-SOLSTICE 138kV,68,80486,308686,138.0,1,8
ercot,SEA-SEA 138kV,51,81406,309644,138.0,3,46
ercot,DOWNIES-DOWNIES 138kV,37,T14,,138.0/69.0,1,10
ercot,VICTORIA-OCONNOR 69kV,30,76375,304384,69.0,1,41
ercot,REVEILLE-COTULLA 138kV,28,82597,310883,138.0,1,1
ercot,HOWARD-LEON_CRK 138kV,28,84428,312785,138.0,1,1
ercot,SNYDR-SNYDR 138kV,16,72379,300174,138.0,1,1
ercot,YELWJCKT-HEXT 69kV,10,85282,313686,69.0,1,20
ercot,W_BATESV-UVALDE 138kV,7,80029,308215,138.0,1,3
ercot,S_MISSIN-FRONTERA 138kV,1,81560,309803,138.0,2,45
miso,STERLINGTON - EL DORADO 500,242,38006,146499,500.0,1,11
miso,MCKNIGHT - DANIEL 500,242,27506,133684,500.0,1,18
miso,FORT CALHOUN-RAUN 345,168,22515,127530,345.0,1,61
miso,ALMA-CHEESEMAN-REGAL 138,96,5132,106288,138.0,1,5
miso,STORY CO-MARSHALTOWN WEST MAIN 161,25,5153,106310,161.0,1,57
miso,CLARINDA-HASTING 161,17,32169,139394,161.0,1,26
miso,SANSSU - DRIVER 500,5,20738,125424,500.0,1,42
miso,ADAMS - HAYWARD 161,1,51124,166129,161.0,1,37
miso,XF OVER X345 XFMR_1_345 (XF/AMMO/*),146,T17776,,345.0/161.0,1,36
miso,LN ALMA ALMAREGAL13_1 1 (LN/CONS/CONS),96,25449,131110,138.0,1,5
miso,XF NOBLES TR9 TR9_2 (XF/NSP/*),43,T5546,,138.0/69.0,1,44
