market_date,flowgate_nerc_id,constraint_id,constraint_name,branch_name,contingency,hour,shadow_price,constraint_description
12/24/2024,29254.0,438951.0,TMP781_Pittsburg_Semino_345_kV_FTLO_Canadian_Riv,SEMINOLE SEMINOLE A (LN/OKGE/CSWS),PITTSBURG-CANADIAN RIVER 345,00:00,-0.6,
12/24/2024,30334.0,465131.0,TMP854_Maryvil_Braddyvil_161kV_ftlo_North_Boro_O,MRYVL_SJ MRYVLBRADD16_1 1 (LN/MPS/MEC),ORENTDRT - NORTHBORO 345,00:30,-569.2,
12/24/2024,30334.0,465131.0,TMP854_Maryvil_Braddyvil_161kV_ftlo_North_Boro_O,MRYVL_SJ MRYVLBRADD16_1 1 (LN/MPS/MEC),ORENTDRT - NORTHBORO 345,00:35,-488.35,
12/24/2024,30334.0,465131.0,TMP854_Maryvil_Braddyvil_161kV_ftlo_North_Boro_O,MRYVL_SJ MRYVLBRADD16_1 1 (LN/MPS/MEC),ORENTDRT - NORTHBORO 345,00:40,-369.9,
12/24/2024,5701.0,471503.0,FTTXFRFTTXFR,FTTHOMP U1B2 KU1B1 (XF/WAUE/*),FT THOMPSON 345/230 KU1A,01:10,-150.0,
12/24/2024,30334.0,465131.0,TMP854_Maryvil_Braddyvil_161kV_ftlo_North_Boro_O,MRYVL_SJ MRYVLBRADD16_1 1 (LN/MPS/MEC),ORENTDRT - NORTHBORO 345,01:10,-17.93,
12/24/2024,30334.0,465131.0,TMP854_Maryvil_Braddyvil_161kV_ftlo_North_Boro_O,MRYVL_SJ MRYVLBRADD16_1 1 (LN/MPS/MEC),ORENTDRT - NORTHBORO 345,01:15,-1487.4,
12/24/2024,30334.0,465131.0,TMP854_Maryvil_Braddyvil_161kV_ftlo_North_Boro_O,MRYVL_SJ MRYVLBRADD16_1 1 (LN/MPS/MEC),ORENTDRT - NORTHBORO 345,01:20,-743.46,
12/24/2024,29254.0,438951.0,TMP781_Pittsburg_Semino_345_kV_FTLO_Canadian_Riv,SEMINOLE SEMINOLE A (LN/OKGE/CSWS),PITTSBURG-CANADIAN RIVER 345,01:25,-1136.8,
12/24/2024,29254.0,438951.0,TMP781_Pittsburg_Semino_345_kV_FTLO_Canadian_Riv,SEMINOLE SEMINOLE A (LN/OKGE/CSWS),PITTSBURG-CANADIAN RIVER 345,01:30,-12.05,
12/24/2024,29254.0,438951.0,TMP781_Pittsburg_Semino_345_kV_FTLO_Canadian_Riv,SEMINOLE SEMINOLE A (LN/OKGE/CSWS),PITTSBURG-CANADIAN RIVER 345,01:35,-1194.93,
12/24/2024,29254.0,438951.0,TMP781_Pittsburg_Semino_345_kV_FTLO_Canadian_Riv,SEMINOLE SEMINOLE A (LN/OKGE/CSWS),PITTSBURG-CANADIAN RIVER 345,01:40,-18.19,
12/24/2024,29254.0,438951.0,TMP781_Pittsburg_Semino_345_kV_FTLO_Canadian_Riv,SEMINOLE SEMINOLE A (LN/OKGE/CSWS),PITTSBURG-CANADIAN RIVER 345,01:45,-8.4,
12/24/2024,29254.0,438951.0,TMP781_Pittsburg_Semino_345_kV_FTLO_Canadian_Riv,SEMINOLE SEMINOLE A (LN/OKGE/CSWS),PITTSBURG-CANADIAN RIVER 345,01:50,-1.07,
12/24/2024,29254.0,438951.0,TMP781_Pittsburg_Semino_345_kV_FTLO_Canadian_Riv,SEMINOLE SEMINOLE A (LN/OKGE/CSWS),PITTSBURG-CANADIAN RIVER 345,02:00,-0.3,
12/24/2024,30334.0,465131.0,TMP854_Maryvil_Braddyvil_161kV_ftlo_North_Boro_O,MRYVL_SJ MRYVLBRADD16_1 1 (LN/MPS/MEC),ORENTDRT - NORTHBORO 345,02:10,-8.64,
12/24/2024,30334.0,465131.0,TMP854_Maryvil_Braddyvil_161kV_ftlo_North_Boro_O,MRYVL_SJ MRYVLBRADD16_1 1 (LN/MPS/MEC),ORENTDRT - NORTHBORO 345,02:15,-25.69,
12/24/2024,30334.0,465131.0,TMP854_Maryvil_Braddyvil_161kV_ftlo_North_Boro_O,MRYVL_SJ MRYVLBRADD16_1 1 (LN/MPS/MEC),ORENTDRT - NORTHBORO 345,02:20,-40.27,
12/24/2024,30334.0,465131.0,TMP854_Maryvil_Braddyvil_161kV_ftlo_North_Boro_O,MRYVL_SJ MRYVLBRADD16_1 1 (LN/MPS/MEC),ORENTDRT - NORTHBORO 345,02:25,-365.25,
12/24/2024,5701.0,471503.0,FTTXFRFTTXFR,FTTHOMP U1B2 KU1B1 (XF/WAUE/*),FT THOMPSON 345/230 KU1A,05:15,-45.4,
12/24/2024,5701.0,471503.0,FTTXFRFTTXFR,FTTHOMP U1B2 KU1B1 (XF/WAUE/*),FT THOMPSON 345/230 KU1A,05:20,-30.85,
