bus,yard,interconnection,plant_mw,escape_kv,floor_kv,osm_kv,osm_dist_km,osm_way_id,reach_km
81053,6150,Eastern,2055.0,130.5,230.0,765.0,0.227,1062106510,40.2
71881,72209,ERCOT,1884.4,138.0,230.0,345.0,0.45,520385212,33.0
64798,66957,ERCOT,1021.0,138.0,230.0,345.0,0.051,171704784,41.4
69379,70376,ERCOT,828.9,138.0,230.0,345.0,0.179,39624216,8.6
55013,58260,Western,621.2,115.0,138.0,230.0,0.022,1254633491,4.8
65596,67552,ERCOT,578.8,69.0,138.0,138.0,0.047,518903008,18.2
1624,21479,Eastern,567.0,100.0,138.0,138.0,0.017,1193698566,0.0
3894,3601,Eastern,560.0,115.0,138.0,230.0,0.293,1033068802,6.4
66387,68101,ERCOT,556.0,69.0,138.0,138.0,0.015,467959355,14.9
70775,71352,ERCOT,537.6,69.0,138.0,138.0,0.007,10015536,26.1
8681,9039,Eastern,500.9,115.0,138.0,230.0,0.448,693429446,0.2
70453,71130,ERCOT,500.0,69.0,138.0,345.0,0.097,1365642984,21.8
62706,64972,Western,500.0,115.0,138.0,345.0,0.115,1112513144,53.5
59767,62404,Western,410.7,115.0,138.0,230.0,0.22,5436088,16.8
8458,8820,Eastern,400.0,69.0,138.0,345.0,0.11,1021292355,30.7
65319,67349,ERCOT,371.1,115.0,138.0,230.0,0.003,460604595,10.8
59768,62405,Western,365.5,115.0,138.0,230.0,0.624,5436088,2.0
19976,20406,Eastern,363.0,115.0,138.0,230.0,0.586,1059079879,11.4
15963,16280,Eastern,357.6,120.0,138.0,345.0,0.136,175146065,0.4
21798,22442,Eastern,350.0,115.0,138.0,345.0,0.059,1148115539,8.7
8521,8878,Eastern,342.6,115.0,138.0,230.0,0.589,157278517,0.6
16706,17023,Eastern,334.5,115.0,138.0,161.0,0.106,1412410042,0.1
85433,47011,Eastern,311.1,130.5,138.0,138.0,0.538,1321453593,1.0
69873,70720,ERCOT,308.8,69.0,138.0,345.0,0.386,453376982,8.0
80196,3659,Eastern,306.0,130.5,138.0,230.0,0.023,1176909237,0.6
75158,74796,ERCOT,300.0,69.0,138.0,138.0,0.005,344841810,26.3
25742,26451,Eastern,297.0,115.0,138.0,345.0,0.052,1120234863,4.7
19887,20285,Eastern,293.1,115.0,138.0,345.0,0.362,1545814137,16.4
27487,28334,Eastern,290.0,115.0,138.0,500.0,0.079,1208438591,30.8
54936,58200,Western,290.0,115.0,138.0,230.0,0.048,851976685,2.9
46852,59009,Western,263.0,115.0,138.0,138.0,0.012,1337621578,22.1
19591,19944,Eastern,260.9,115.0,138.0,345.0,0.343,1120000869,5.0
76669,76035,Western,259.8,66.0,138.0,220.0,0.186,1061930511,0.5
2255,2065,Eastern,250.5,115.0,138.0,161.0,0.076,1164427908,8.8
70202,70951,ERCOT,250.0,69.0,138.0,345.0,0.112,173162990,0.0
54985,58236,Western,248.0,115.0,138.0,230.0,0.158,51801242,0.3
74950,74635,Western,247.0,115.0,138.0,230.0,0.008,1420623362,3.6
6304,6423,Eastern,242.0,115.0,138.0,500.0,0.327,9424299,9.1
21762,22405,Eastern,242.0,115.0,138.0,345.0,0.063,49810095,1.6
55127,58364,Western,240.0,115.0,138.0,345.0,0.091,104039675,0.3
84420,33858,Eastern,228.7,130.5,138.0,345.0,0.434,165469721,0.5
36193,38151,Eastern,223.5,115.0,138.0,230.0,0.299,10810334,26.9
18411,18715,Eastern,216.3,115.0,138.0,345.0,0.532,170835815,1.0
18106,18416,Eastern,213.4,115.0,138.0,161.0,0.052,392553493,1.1
70024,70824,Western,203.0,115.0,138.0,220.0,0.574,88776832,1.3
68625,69787,Western,202.6,115.0,138.0,500.0,0.539,377366303,1.2
60108,62715,Western,201.0,115.0,138.0,230.0,0.009,1191697016,15.1
60573,63122,Western,200.6,115.0,138.0,345.0,0.014,1294833305,15.5
65463,67450,Western,199.8,66.0,115.0,220.0,0.006,1251831179,3.2
76054,75557,Western,179.0,66.0,115.0,220.0,0.641,1251831136,1.2
67858,69248,Eastern,170.0,69.0,115.0,138.0,0.001,630415513,7.3
69753,70641,ERCOT,155.4,13.8,115.0,138.0,0.006,467959189,5.5
38595,40825,Eastern,150.0,69.0,115.0,138.0,0.031,1107622487,9.7
17898,18199,Eastern,150.0,69.0,115.0,138.0,0.046,21709980,14.8
23227,23895,Eastern,147.8,69.0,115.0,161.0,0.023,892481004,14.3
66523,68206,ERCOT,135.0,69.0,115.0,345.0,0.063,171926568,9.1
89517,76677,Western,129.4,66.0,115.0,230.0,0.03,165359317,0.0
66671,68309,Western,126.4,66.0,115.0,220.0,0.055,936171471,2.7
70749,71335,ERCOT,119.8,69.0,115.0,138.0,0.017,21196797,12.7
58596,61430,Western,115.7,69.0,115.0,230.0,0.312,183178922,0.3
70085,70866,ERCOT,115.5,69.0,115.0,345.0,0.016,453310254,5.9
85119,36672,Eastern,109.5,100.0,115.0,230.0,0.055,708669868,1.4
58479,61343,Eastern,108.2,69.0,115.0,115.0,0.001,1064187786,5.9
73314,73221,ERCOT,101.0,69.0,115.0,138.0,0.032,501745937,25.4
44094,56035,Eastern,100.0,41.6,115.0,115.0,0.391,159761561,12.3
78115,77255,ERCOT,100.0,69.0,115.0,138.0,0.136,258412817,1.0
75858,75401,ERCOT,100.0,69.0,115.0,138.0,0.004,339945448,0.0
77083,76363,Western,100.0,66.0,115.0,287.0,0.274,49047890,2.3
19690,20069,Eastern,98.9,69.0,115.0,161.0,0.004,133816533,9.5
48869,61039,Western,98.1,69.0,115.0,115.0,0.109,1227151924,4.5
